,SKU,Produto,Quantidade Vendida,Primeiro Nome,Sobrenome,Data,Loja,Preco Unitario,Unnamed: 8
17,HL4379,Televisão,2,Carolina,Alfradique,2/25/2018,Belo Horizonte,2500,
25,HL4379,Televisão,1,Danilo,Rubim,2/20/2018,Belo Horizonte,2500,
27,HL1918,iPhone,5,Bernard,Pedrosa,7/7/2018,Belo Horizonte,5300,
54,HL1918,iPhone,5,Lucas,Lemos,12/26/2018,Belo Horizonte,5300,
67,HL8851,Notebook,5,Bernardo,Botelho,6/8/2018,Belo Horizonte,3500,
107,HL4379,Televisão,2,Raíza,Lopes,4/24/2018,Belo Horizonte,2500,
117,HL8851,Notebook,1,Paola,Abreu,8/2/2018,Belo Horizonte,3500,
155,HL8851,Notebook,4,Marina,Delgado,5/10/2018,Belo Horizonte,3500,
189,HL8851,Notebook,5,Giovana,Vilela,7/10/2018,Belo Horizonte,3500,
217,HL1918,iPhone,5,Gabriel,Brito,7/15/2018,Belo Horizonte,5300,
218,HL7348,SmartWatch,1,Amanda,Delgado,10/22/2018,Belo Horizonte,1400,
220,HL1918,iPhone,5,Isabella,Scalabrin,6/13/2018,Belo Horizonte,5300,
231,HL1918,iPhone,5,Guilherme,Monteiro,7/7/2018,Belo Horizonte,5300,
262,HL4379,Televisão,3,Isabel,Lacerda,1/10/2018,Belo Horizonte,2500,
316,HL2714,Tablet,4,Aline,Morais,1/23/2018,Belo Horizonte,1600,
319,HL2714,Tablet,2,Isabela,Rodrigues,7/24/2018,Belo Horizonte,1600,
329,HL4379,Televisão,3,Aline,Andrade,10/7/2018,Belo Horizonte,2500,
388,HL1918,iPhone,2,Raul,Junqueira,9/24/2018,Belo Horizonte,5300,
397,HL2714,Tablet,1,Lucas,Lemos,11/15/2018,Belo Horizonte,1600,
420,HL2714,Tablet,3,Leandro,Melo,2/28/2018,Belo Horizonte,1600,
428,HL1148,Câmera,2,Rogério,Gentile,10/13/2018,Belo Horizonte,2100,
430,HL7348,SmartWatch,3,Julia,Aliani,11/28/2018,Belo Horizonte,1400,
434,HL1148,Câmera,4,Victor,Gomes,5/8/2018,Belo Horizonte,2100,
452,HL2714,Tablet,5,Luã,Sá,4/16/2018,Belo Horizonte,1600,
492,HL1148,Câmera,3,Pedro,Santos,12/24/2018,Belo Horizonte,2100,
520,HL9962,Android,2,Thiago,Nóbrega,11/11/2018,Belo Horizonte,3400,
530,HL4379,Televisão,4,Rafael,Portela,2/27/2018,Belo Horizonte,2500,
540,HL9962,Android,4,Ana,Silva,10/13/2018,Belo Horizonte,3400,
566,HL8851,Notebook,4,João,Costa,9/18/2018,Belo Horizonte,3500,
604,HL1918,iPhone,4,Thomáz,Vannier,3/5/2018,Belo Horizonte,5300,
609,HL9962,Android,2,Paula,Carneiro,5/26/2018,Belo Horizonte,3400,
610,HL1918,iPhone,5,Ana,Carvalho,6/19/2018,Belo Horizonte,5300,
660,HL1918,iPhone,4,Felipe,Jorge,8/2/2018,Belo Horizonte,5300,
690,HL4379,Televisão,2,Daniel,Ortiz,8/24/2018,Belo Horizonte,2500,
691,HL9962,Android,5,Mônica,Rotolo,2/2/2018,Belo Horizonte,3400,
