,SKU,Produto,Quantidade Vendida,Primeiro Nome,Sobrenome,Data,Loja,Preco Unitario,Unnamed: 8
0,HL4379,Televisão,5,Gabriel,Thoni,6/30/2018,Curitiba,2500,
7,HL2714,Tablet,2,Thays,Castro,3/7/2018,Curitiba,1600,
22,HL1918,iPhone,3,Lucas,Rodrigues,10/8/2018,Curitiba,5300,
28,HL1918,iPhone,3,Gabriel,Silva,8/21/2018,Curitiba,5300,
59,HL4379,Televisão,3,Pedro,Conceição,5/16/2018,Curitiba,2500,
61,HL2714,Tablet,3,Sandy,Ribeiro,5/4/2018,Curitiba,1600,
64,HL7348,SmartWatch,4,Isabela,Teixeira,8/31/2018,Curitiba,1400,
66,HL1918,iPhone,3,Carolina,Costa,3/28/2018,Curitiba,5300,
79,HL8851,Notebook,2,Victor,Gomes,3/23/2018,Curitiba,3500,
83,HL4379,Televisão,3,João,Alves,5/7/2018,Curitiba,2500,
85,HL9962,Android,5,Thales,Fanara,4/14/2018,Curitiba,3400,
89,HL4379,Televisão,3,Jonatas,Essaber,2/3/2018,Curitiba,2500,
109,HL1918,iPhone,3,Beatriz,Cavalcanti,10/30/2018,Curitiba,5300,
114,HL1918,iPhone,4,Bianca,Ferezin,6/2/2018,Curitiba,5300,
122,HL1148,Câmera,2,Laura,Araujo,12/18/2018,Curitiba,2100,
140,HL4379,Televisão,3,Bernardo,Souza,9/23/2018,Curitiba,2500,
151,HL7348,SmartWatch,1,João,Capitulo,2/26/2018,Curitiba,1400,
194,HL8851,Notebook,3,Renan,Melo,12/2/2018,Curitiba,3500,
224,HL4379,Televisão,5,Sthefeson,Pereira,3/30/2018,Curitiba,2500,
225,HL7348,SmartWatch,1,Guilherme,Lima,7/16/2018,Curitiba,1400,
226,HL1918,iPhone,4,Eduardo,Pacheco,12/28/2018,Curitiba,5300,
235,HL1918,iPhone,1,Anna,Silva,7/20/2018,Curitiba,5300,
240,HL7348,SmartWatch,4,Giuseppe,Borges,7/11/2018,Curitiba,1400,
