,SKU,Produto,Quantidade Vendida,Primeiro Nome,Sobrenome,Data,Loja,Preco Unitario,Unnamed: 8
2,HL1148,Câmera,2,Camila,Sobral,10/21/2018,Fortaleza,2100,
3,HL1918,iPhone,3,Clara,Bruno,7/8/2018,Fortaleza,5300,
4,HL9962,Android,4,Eduardo,Pacheco,12/19/2018,Fortaleza,3400,
11,HL1918,iPhone,2,Rafael,Rocha,12/22/2018,Fortaleza,5300,
15,HL2714,Tablet,2,Caio,Ferreira,7/26/2018,Fortaleza,1600,
16,HL8851,Notebook,3,Mariana,Freire,11/4/2018,Fortaleza,3500,
29,HL2714,Tablet,1,Pedro,Oliveira,12/17/2018,Fortaleza,1600,
53,HL1918,iPhone,3,Raphael,Guedes,7/28/2018,Fortaleza,5300,
84,HL2714,Tablet,5,Lucas,Costa,9/14/2018,Fortaleza,1600,
100,HL1918,iPhone,1,Raul,Junqueira,1/17/2018,Fortaleza,5300,
104,HL1918,iPhone,4,Rubens,Netto,1/8/2018,Fortaleza,5300,
105,HL1918,iPhone,2,Isabel,Leite,6/2/2018,Fortaleza,5300,
108,HL4379,Televisão,4,Débora,Lopes,3/5/2018,Fortaleza,2500,
131,HL1918,iPhone,3,Rilson,Dias,6/7/2018,Fortaleza,5300,
138,HL8851,Notebook,2,Lucas,Costa,12/24/2018,Fortaleza,3500,
141,HL1918,iPhone,3,Eduardo,Nunes,10/19/2018,Fortaleza,5300,
147,HL7348,SmartWatch,5,Andreza,Ramos,1/19/2018,Fortaleza,1400,
157,HL4379,Televisão,4,Marcelo,Guadagnino,7/23/2018,Fortaleza,2500,
163,HL1918,iPhone,3,Katharina,Barros,3/12/2018,Fortaleza,5300,
165,HL1918,iPhone,3,Rafaela,Ferreira,12/19/2018,Fortaleza,5300,
169,HL9962,Android,4,Gabriella,Sagrillo,7/24/2018,Fortaleza,3400,
192,HL4379,Televisão,3,Roberta,Nogueira,6/24/2018,Fortaleza,2500,
199,HL4379,Televisão,3,João,Guadagnino,6/17/2018,Fortaleza,2500,
200,HL1148,Câmera,5,Michelle,Figueiredo,2/9/2018,Fortaleza,2100,
211,HL1918,iPhone,2,Matheus,Miranda,12/31/2018,Fortaleza,5300,
222,HL4379,Televisão,5,Mônica,Rotolo,9/3/2018,Fortaleza,2500,
230,HL8851,Notebook,1,Juliana,Correa,5/30/2018,Fortaleza,3500,
232,HL9962,Android,2,Lucas,Freire,2/8/2018,Fortaleza,3400,
234,HL4379,Televisão,1,Jonatas,Passos,12/20/2018,Fortaleza,2500,
236,HL1918,iPhone,5,Caio,Moraes,6/17/2018,Fortaleza,5300,
245,HL8851,Notebook,3,Daniel,Nauenberg,7/10/2018,Fortaleza,3500,
247,HL1918,iPhone,2,Viviane,Souza,8/9/2018,Fortaleza,5300,
252,HL1918,iPhone,3,Marina,Aragão,12/25/2018,Fortaleza,5300,
274,HL1148,Câmera,2,Antonio,Bernhardt,6/26/2018,Fortaleza,2100,
279,HL9962,Android,2,Jonatas,Essaber,4/3/2018,Fortaleza,3400,
296,HL9962,Android,5,Bernardo,Nauenberg,2/22/2018,Fortaleza,3400,
313,HL7348,SmartWatch,1,Juliana,Barreira,1/31/2018,Fortaleza,1400,
320,HL1918,iPhone,2,Rodrigo,Alves,11/19/2018,Fortaleza,5300,
325,HL4379,Televisão,5,Lucas,Lemos,8/12/2018,Fortaleza,2500,
327,HL7348,SmartWatch,5,Wendela,Mariz,5/24/2018,Fortaleza,1400,
338,HL1918,iPhone,5,Rachel,Silva,11/16/2018,Fortaleza,5300,
340,HL1918,iPhone,1,Rodrigo,Ramos,5/6/2018,Fortaleza,5300,
367,HL7348,SmartWatch,1,Michelle,Figueiredo,3/27/2018,Fortaleza,1400,
382,HL7348,SmartWatch,1,Cézar,Santos,11/17/2018,Fortaleza,1400,
383,HL9962,Android,4,Hércules,Moreira,8/1/2018,Fortaleza,3400,
384,HL2714,Tablet,1,Ives,Barbosa,4/27/2018,Fortaleza,1600,
385,HL9962,Android,2,José,Jesus,12/5/2018,Fortaleza,3400,
387,HL4379,Televisão,5,Guilherme,Lima,5/9/2018,Fortaleza,2500,
391,HL7348,SmartWatch,5,Ives,Teixeira,10/31/2018,Fortaleza,1400,
394,HL1918,iPhone,5,Lucas,Monte,12/25/2018,Fortaleza,5300,
400,HL8851,Notebook,5,Vitor,Campos,8/24/2018,Fortaleza,3500,
403,HL1148,Câmera,4,Gabriela,Mello,6/20/2018,Fortaleza,2100,
405,HL1918,iPhone,4,Lara,Moreira,12/23/2018,Fortaleza,5300,
416,HL1918,iPhone,5,Samara,Pinto,4/3/2018,Fortaleza,5300,
426,HL8851,Notebook,4,Thiago,Miura,7/15/2018,Fortaleza,3500,
437,HL9962,Android,4,Michelle,Pereira,6/14/2018,Fortaleza,3400,
448,HL4379,Televisão,5,Carlos,Azevedo,2/13/2018,Fortaleza,2500,
449,HL1918,iPhone,2,Anderson,Cavalcanti,10/17/2018,Fortaleza,5300,
459,HL8851,Notebook,4,Beatriz,Biase,7/28/2018,Fortaleza,3500,
465,HL7348,SmartWatch,2,Clara,Bruno,12/10/2018,Fortaleza,1400,
482,HL1918,iPhone,1,Matheus,Delgado,5/20/2018,Fortaleza,5300,
486,HL1918,iPhone,1,Jéssica,Netto,1/8/2018,Fortaleza,5300,
495,HL2714,Tablet,5,Tayla,Lima,1/27/2018,Fortaleza,1600,
496,HL8851,Notebook,5,Michelle,Pereira,3/1/2018,Fortaleza,3500,
499,HL8851,Notebook,5,Maria,Motta,6/9/2018,Fortaleza,3500,
505,HL4379,Televisão,2,Cézar,Santos,4/15/2018,Fortaleza,2500,
509,HL9962,Android,1,Natalia,Marinho,7/18/2018,Fortaleza,3400,
511,HL1918,iPhone,4,Antonio,Bernhardt,11/9/2018,Fortaleza,5300,
517,HL1918,iPhone,1,Juliana,Silva,8/19/2018,Fortaleza,5300,
518,HL1918,iPhone,4,Lucas,Assunção,7/27/2018,Fortaleza,5300,
527,HL4379,Televisão,1,Gustavo,Guimarães,10/23/2018,Fortaleza,2500,
535,HL4379,Televisão,5,Lucas,Lima,10/9/2018,Fortaleza,2500,
537,HL1148,Câmera,3,Dandara,Reis,3/18/2018,Fortaleza,2100,
538,HL4379,Televisão,1,Lucas,Almeida,12/24/2018,Fortaleza,2500,
547,HL1918,iPhone,2,Giovanna,Santos,1/27/2018,Fortaleza,5300,
554,HL7348,SmartWatch,1,Alexandre,Rodriguez,8/14/2018,Fortaleza,1400,
562,HL1918,iPhone,4,Dykson,Silva,1/18/2018,Fortaleza,5300,
569,HL2714,Tablet,1,Bruna,Chein,5/21/2018,Fortaleza,1600,
574,HL1918,iPhone,2,Gustavo,Gomes,9/25/2018,Fortaleza,5300,
584,HL7348,SmartWatch,5,David,Vasconcelos,2/15/2018,Fortaleza,1400,
585,HL4379,Televisão,5,Isabela,Teixeira,12/16/2018,Fortaleza,2500,
590,HL9962,Android,2,Jorge,Fonseca,7/27/2018,Fortaleza,3400,
603,HL8851,Notebook,1,Adriana,Passos,8/15/2018,Fortaleza,3500,
605,HL7348,SmartWatch,1,Bruna,Silva,2/22/2018,Fortaleza,1400,
608,HL4379,Televisão,4,Ana,Soledade,7/18/2018,Fortaleza,2500,
611,HL8851,Notebook,5,Fernanda,Coutinho,2/17/2018,Fortaleza,3500,
621,HL8851,Notebook,2,Arthur,Fernandes,2/16/2018,Fortaleza,3500,
629,HL9962,Android,4,Raissa,Pinheiro,1/29/2018,Fortaleza,3400,
635,HL4379,Televisão,5,Jorge,Carvalho,8/21/2018,Fortaleza,2500,
642,HL7348,SmartWatch,2,Gabriel,Pereira,2/20/2018,Fortaleza,1400,
646,HL4379,Televisão,2,Rachel,Silva,2/11/2018,Fortaleza,2500,
649,HL9962,Android,2,João,Junior,11/12/2018,Fortaleza,3400,
650,HL4379,Televisão,3,Caio,Affonso,3/21/2018,Fortaleza,2500,
677,HL1918,iPhone,2,Raul,Silveira,12/10/2018,Fortaleza,5300,
695,HL2714,Tablet,3,Rodrigo,Alves,7/12/2018,Fortaleza,1600,
707,HL1148,Câmera,5,Julia,Silva,11/10/2018,Fortaleza,2100,
714,HL9962,Android,5,Juliana,Goes,7/3/2018,Fortaleza,3400,
717,HL8851,Notebook,4,Ravena,Bhering,5/23/2018,Fortaleza,3500,
718,HL1148,Câmera,5,Deysiane,Medronho,11/7/2018,Fortaleza,2100,
725,HL2714,Tablet,4,Mariana,Freire,5/7/2018,Fortaleza,1600,
734,HL4379,Televisão,5,Raphael,Kurtz,10/13/2018,Fortaleza,2500,
741,HL4379,Televisão,2,Caroline,Pinto,6/20/2018,Fortaleza,2500,
747,HL4379,Televisão,1,Luiza,Cavalcanti,5/8/2018,Fortaleza,2500,
750,HL1918,iPhone,1,Leandro,Rodrigues,9/29/2018,Fortaleza,5300,
762,HL1918,iPhone,5,Elena,Barreto,5/25/2018,Fortaleza,5300,
772,HL1918,iPhone,4,Thales,Andrade,11/26/2018,Fortaleza,5300,
773,HL4379,Televisão,2,Lívia,Marques,7/23/2018,Fortaleza,2500,
778,HL4379,Televisão,3,Raissa,Maia,12/10/2018,Fortaleza,2500,
795,HL4379,Televisão,1,Diogo,Peixoto,7/18/2018,Fortaleza,2500,
797,HL4379,Televisão,5,Itai,Puntel,7/4/2018,Fortaleza,2500,
800,HL7348,SmartWatch,3,Brenno,Santos,1/3/2018,Fortaleza,1400,
812,HL8851,Notebook,2,Luiza,Procaci,4/5/2018,Fortaleza,3500,
815,HL1918,iPhone,2,Anízio,Carvalho,12/16/2018,Fortaleza,5300,
823,HL2714,Tablet,2,Bárbara,Cavalcante,2/27/2018,Fortaleza,1600,
830,HL1918,iPhone,1,Tainah,Nogueira,6/15/2018,Fortaleza,5300,
835,HL9962,Android,1,Gabriel,Ribeiro,1/29/2018,Fortaleza,3400,
860,HL9962,Android,2,Maria,Costa,5/2/2018,Fortaleza,3400,
