,SKU,Produto,Quantidade Vendida,Primeiro Nome,Sobrenome,Data,Loja,Preco Unitario,Unnamed: 8
13,HL4379,Televisão,1,Daniel,Monteiro,5/23/2018,Goiás,2500,
19,HL9962,Android,4,Elaine,Santos,7/5/2018,Goiás,3400,
45,HL1918,iPhone,5,Lenon,Fernandes,3/31/2018,Goiás,5300,
50,HL7348,SmartWatch,1,Vivianne,Rodrigues,8/11/2018,Goiás,1400,
97,HL7348,SmartWatch,2,Pedro,Rodrigues,7/26/2018,Goiás,1400,
116,HL2714,Tablet,3,Caio,Cardoso,6/18/2018,Goiás,1600,
123,HL2714,Tablet,4,Lucas,Freire,1/13/2018,Goiás,1600,
130,HL9962,Android,5,Caio,Fernandes,7/25/2018,Goiás,3400,
133,HL1918,iPhone,4,Kim,Ferreira,5/11/2018,Goiás,5300,
135,HL4379,Televisão,4,Beatriz,Rocha,10/23/2018,Goiás,2500,
139,HL4379,Televisão,2,Leandro,Ferreira,1/25/2018,Goiás,2500,
146,HL1918,iPhone,1,Thomáz,Bôas,7/22/2018,Goiás,5300,
159,HL9962,Android,4,Philipe,Morete,10/18/2018,Goiás,3400,
164,HL4379,Televisão,3,Felipe,Jorge,7/10/2018,Goiás,2500,
181,HL9962,Android,2,João,Junior,1/11/2018,Goiás,3400,
187,HL1918,iPhone,4,Marina,Gama,7/20/2018,Goiás,5300,
197,HL4379,Televisão,4,Rilson,Guedes,3/15/2018,Goiás,2500,
205,HL1918,iPhone,4,Felipe,Mello,3/13/2018,Goiás,5300,
228,HL8851,Notebook,3,Beatriz,Silva,9/21/2018,Goiás,3500,
233,HL7348,SmartWatch,3,Vanessa,Rodrigues,10/20/2018,Goiás,1400,
246,HL7348,SmartWatch,4,Camila,Bastazini,4/28/2018,Goiás,1400,
265,HL1918,iPhone,4,Julia,Teixeira,6/5/2018,Goiás,5300,
267,HL2714,Tablet,2,Raissa,Sales,9/21/2018,Goiás,1600,
281,HL1918,iPhone,1,Lorena,Carvalho,2/10/2018,Goiás,5300,
293,HL7348,SmartWatch,4,Beatriz,Biase,11/8/2018,Goiás,1400,
312,HL1148,Câmera,4,Juliana,Goes,8/19/2018,Goiás,2100,
355,HL1918,iPhone,5,Guilherme,Monteiro,11/9/2018,Goiás,5300,
356,HL1918,iPhone,4,Rafaela,Gomes,3/26/2018,Goiás,5300,
395,HL4379,Televisão,2,William,Mendonça,3/27/2018,Goiás,2500,
421,HL8851,Notebook,2,Clara,Silveira,9/16/2018,Goiás,3500,
