,SKU,Produto,Quantidade Vendida,Primeiro Nome,Sobrenome,Data,Loja,Preco Unitario,Unnamed: 8
14,HL4379,Televisão,4,Ylana,Teraoka,6/23/2018,Porto Alegre,2500,
34,HL1148,Câmera,1,Rubens,Netto,7/11/2018,Porto Alegre,2100,
43,HL1148,Câmera,5,Paloma,Sperandei,9/15/2018,Porto Alegre,2100,
49,HL8851,Notebook,5,Breno,Farias,6/24/2018,Porto Alegre,3500,
52,HL4379,Televisão,2,Lorena,Kohn,7/31/2018,Porto Alegre,2500,
55,HL1918,iPhone,4,Juliana,Goes,3/20/2018,Porto Alegre,5300,
68,HL8851,Notebook,3,Carlos,Melo,1/22/2018,Porto Alegre,3500,
71,HL9962,Android,4,Raphael,Machado,12/14/2018,Porto Alegre,3400,
74,HL7348,SmartWatch,2,Caroline,Aquino,4/12/2018,Porto Alegre,1400,
91,HL1148,Câmera,4,Ulisses,Filho,9/30/2018,Porto Alegre,2100,
95,HL1918,iPhone,3,Aline,Andrade,11/21/2018,Porto Alegre,5300,
113,HL4379,Televisão,5,Alexandre,Dantas,9/15/2018,Porto Alegre,2500,
120,HL8851,Notebook,3,Wilson,Vianna,10/27/2018,Porto Alegre,3500,
132,HL7348,SmartWatch,3,Carlos,Barbosa,2/26/2018,Porto Alegre,1400,
136,HL1918,iPhone,3,Roberta,Nogueira,10/17/2018,Porto Alegre,5300,
142,HL7348,SmartWatch,1,Pedro,Rodrigues,4/23/2018,Porto Alegre,1400,
160,HL4379,Televisão,2,Ravena,Bhering,11/24/2018,Porto Alegre,2500,
166,HL2714,Tablet,5,Bruna,Gomes,8/22/2018,Porto Alegre,1600,
193,HL9962,Android,3,Bianca,Paz,9/13/2018,Porto Alegre,3400,
214,HL4379,Televisão,2,Guilherme,Lima,5/31/2018,Porto Alegre,2500,
238,HL4379,Televisão,5,Clara,Bruno,1/17/2018,Porto Alegre,2500,
243,HL9962,Android,4,Giovana,Vilela,1/25/2018,Porto Alegre,3400,
282,HL4379,Televisão,4,Leonardo,Ferreira,2/5/2018,Porto Alegre,2500,
292,HL1918,iPhone,2,Gabrielle,Silva,10/1/2018,Porto Alegre,5300,
323,HL4379,Televisão,3,Iuri,Barbosa,8/18/2018,Porto Alegre,2500,
328,HL2714,Tablet,5,Bárbara,Cavalcante,6/18/2018,Porto Alegre,1600,
346,HL4379,Televisão,3,Lucas,Lima,7/18/2018,Porto Alegre,2500,
358,HL1918,iPhone,3,Rafaela,Gomes,6/2/2018,Porto Alegre,5300,
360,HL1918,iPhone,3,Arthur,Souza,12/31/2018,Porto Alegre,5300,
371,HL4379,Televisão,5,Thales,Portillo,7/23/2018,Porto Alegre,2500,
375,HL9962,Android,3,Gustavo,Azevedo,3/2/2018,Porto Alegre,3400,
398,HL1918,iPhone,1,Stefan,Nunes,11/24/2018,Porto Alegre,5300,
399,HL8851,Notebook,3,Mariana,Baptista,2/28/2018,Porto Alegre,3500,
402,HL2714,Tablet,5,Patrícia,Ferreira,2/3/2018,Porto Alegre,1600,
412,HL1918,iPhone,2,Ana,Júnior,10/27/2018,Porto Alegre,5300,
453,HL4379,Televisão,3,Alexandre,Dantas,1/9/2018,Porto Alegre,2500,
464,HL1918,iPhone,1,Natali,Rangel,1/9/2018,Porto Alegre,5300,
470,HL1918,iPhone,3,Victor,Firmino,3/31/2018,Porto Alegre,5300,
490,HL7348,SmartWatch,3,Paloma,Sperandei,2/9/2018,Porto Alegre,1400,
