,SKU,Produto,Quantidade Vendida,Primeiro Nome,Sobrenome,Data,Loja,Preco Unitario,Unnamed: 8
1,HL4379,Televisão,3,Renan,Nascimento,9/14/2018,Recife,2500,
24,HL2714,Tablet,5,Carla,Zakhm,11/13/2018,Recife,1600,
26,HL1918,iPhone,4,Bianca,Tatsch,10/10/2018,Recife,5300,
35,HL1918,iPhone,3,Guido,Monteiro,4/18/2018,Recife,5300,
44,HL4379,Televisão,1,Eduardo,Quindeler,7/20/2018,Recife,2500,
46,HL8851,Notebook,2,Larissa,Cruz,9/15/2018,Recife,3500,
58,HL9962,Android,1,Alexandre,Dantas,1/28/2018,Recife,3400,
60,HL1148,Câmera,1,Marina,Mesquita,8/25/2018,Recife,2100,
78,HL4379,Televisão,2,Lucas,Junior,8/3/2018,Recife,2500,
90,HL4379,Televisão,4,Luíza,Goulart,7/25/2018,Recife,2500,
98,HL1148,Câmera,3,Carla,Zakhm,6/7/2018,Recife,2100,
112,HL8851,Notebook,4,Allan,Candido,4/5/2018,Recife,3500,
127,HL7348,SmartWatch,5,Bárbara,Lima,5/6/2018,Recife,1400,
144,HL1148,Câmera,3,Juan,Fernandes,3/28/2018,Recife,2100,
149,HL2714,Tablet,2,Gabrielle,Porto,4/23/2018,Recife,1600,
209,HL1918,iPhone,2,Eduardo,Silva,3/31/2018,Recife,5300,
229,HL1918,iPhone,3,Raphael,Ferman,4/22/2018,Recife,5300,
260,HL4379,Televisão,4,Rilson,Guedes,9/27/2018,Recife,2500,
278,HL1918,iPhone,3,Paola,Abreu,12/9/2018,Recife,5300,
285,HL1918,iPhone,3,João,Peçanha,9/15/2018,Recife,5300,
290,HL9962,Android,3,Victor,Ferreira,3/18/2018,Recife,3400,
291,HL7348,SmartWatch,5,Patrick,Silva,10/28/2018,Recife,1400,
294,HL1918,iPhone,5,Bernard,Pedrosa,6/10/2018,Recife,5300,
321,HL2714,Tablet,1,Catarina,Teixeira,3/9/2018,Recife,1600,
333,HL1918,iPhone,3,Izabel,Miura,11/7/2018,Recife,5300,
337,HL2714,Tablet,3,João,Menezes,9/26/2018,Recife,1600,
369,HL8851,Notebook,1,Anderson,Martins,6/6/2018,Recife,3500,
386,HL2714,Tablet,1,Rebeca,Taylor,5/9/2018,Recife,1600,
424,HL1918,iPhone,1,Raissa,Maia,8/19/2018,Recife,5300,
443,HL4379,Televisão,4,Eduardo,Veiga,6/3/2018,Recife,2500,
473,HL4379,Televisão,1,Priscila,Carvalho,2/5/2018,Recife,2500,
483,HL2714,Tablet,3,Lucas,Valim,5/2/2018,Recife,1600,
485,HL1918,iPhone,2,Juliana,Silva,6/26/2018,Recife,5300,
507,HL4379,Televisão,2,Ana,Soledade,3/18/2018,Recife,2500,
508,HL1918,iPhone,5,Letícia,Leal,4/7/2018,Recife,5300,
529,HL1918,iPhone,1,Kim,Ferreira,10/8/2018,Recife,5300,
596,HL1148,Câmera,3,Paula,Carneiro,5/22/2018,Recife,2100,
613,HL9962,Android,1,Carolina,Motta,10/18/2018,Recife,3400,
