,SKU,Produto,Quantidade Vendida,Primeiro Nome,Sobrenome,Data,Loja,Preco Unitario,Unnamed: 8
5,HL1918,iPhone,4,Sarah,Souza,2/14/2018,São Paulo,5300,
6,HL7348,SmartWatch,3,Alexandre,Rodriguez,5/20/2018,São Paulo,1400,
9,HL1148,Câmera,3,Camille,Silva,3/26/2018,São Paulo,2100,
10,HL1918,iPhone,3,Alon,Palmeira,11/6/2018,São Paulo,5300,
18,HL8851,Notebook,4,Leandro,Rodrigues,8/6/2018,São Paulo,3500,
20,HL7348,SmartWatch,2,Henrique,Silva,8/5/2018,São Paulo,1400,
23,HL8851,Notebook,5,Fillipe,Almeida,12/6/2018,São Paulo,3500,
30,HL1148,Câmera,4,Gabriel,Puntel,9/27/2018,São Paulo,2100,
31,HL1918,iPhone,5,Clarissa,Santos,12/23/2018,São Paulo,5300,
32,HL1918,iPhone,2,Danilo,Rubim,11/20/2018,São Paulo,5300,
33,HL7348,SmartWatch,1,Nathan,Morelli,1/2/2018,São Paulo,1400,
36,HL7348,SmartWatch,4,Beatriz,Li,12/13/2018,São Paulo,1400,
37,HL2714,Tablet,1,Sarah,Souza,1/3/2018,São Paulo,1600,
38,HL8851,Notebook,5,João,Aires,12/24/2018,São Paulo,3500,
47,HL4379,Televisão,2,Guilherme,Merotto,11/17/2018,São Paulo,2500,
48,HL1918,iPhone,4,Myllena,Carneiro,1/7/2018,São Paulo,5300,
56,HL1148,Câmera,3,Kim,Ferreira,3/19/2018,São Paulo,2100,
57,HL1918,iPhone,5,Ana,Silva,5/25/2018,São Paulo,5300,
62,HL1148,Câmera,3,Adrielle,Vieira,11/25/2018,São Paulo,2100,
69,HL4379,Televisão,2,Carolina,Figueiredo,2/17/2018,São Paulo,2500,
75,HL9962,Android,3,Marcelo,Guadagnino,12/27/2018,São Paulo,3400,
80,HL2714,Tablet,2,Deysiane,Medronho,10/12/2018,São Paulo,1600,
81,HL4379,Televisão,4,Jackson,Derossi,6/3/2018,São Paulo,2500,
86,HL1148,Câmera,2,Victor,Lira,7/8/2018,São Paulo,2100,
87,HL1918,iPhone,1,João,Abraçado,4/30/2018,São Paulo,5300,
92,HL1148,Câmera,4,Matheus,Gomes,1/18/2018,São Paulo,2100,
96,HL1918,iPhone,4,Lucas,Fontoura,5/4/2018,São Paulo,5300,
106,HL1148,Câmera,2,Mariana,Barrozo,8/5/2018,São Paulo,2100,
111,HL4379,Televisão,4,Maurício,Dias,9/10/2018,São Paulo,2500,
118,HL8851,Notebook,1,Gustavo,Gomes,7/6/2018,São Paulo,3500,
125,HL9962,Android,5,Marina,Mesquita,2/16/2018,São Paulo,3400,
126,HL1148,Câmera,3,Ana,Michetti,5/11/2018,São Paulo,2100,
134,HL9962,Android,1,Rafael,Portela,3/23/2018,São Paulo,3400,
137,HL2714,Tablet,3,Bianca,Ferezin,1/25/2018,São Paulo,1600,
143,HL4379,Televisão,5,Fernanda,Junior,7/8/2018,São Paulo,2500,
145,HL9962,Android,3,Rodrigo,Alves,8/21/2018,São Paulo,3400,
148,HL8851,Notebook,4,Carla,Zakhm,1/25/2018,São Paulo,3500,
154,HL8851,Notebook,1,João,Monteiro,2/2/2018,São Paulo,3500,
156,HL2714,Tablet,1,Sthefeson,Barroso,3/9/2018,São Paulo,1600,
161,HL1148,Câmera,2,Patrícia,Amaral,6/1/2018,São Paulo,2100,
162,HL1918,iPhone,3,Diego,Rodrigues,2/21/2018,São Paulo,5300,
170,HL2714,Tablet,4,Felipe,Mendonça,12/20/2018,São Paulo,1600,
173,HL9962,Android,2,Samara,Pinto,12/23/2018,São Paulo,3400,
176,HL1918,iPhone,1,Paloma,Sperandei,4/9/2018,São Paulo,5300,
179,HL4379,Televisão,4,Dykson,Silva,12/5/2018,São Paulo,2500,
